French,English
histoire,history
chercher,search
police,police
pensais,thought
aide,help
mois,month
frère,brother
laisser,let
laisse,leash
pendant,while
revoir,meet again
parle,speak
compris,understood
attention,Warning
pourrais,could
affaire,case
donner,give
train,train
écoute,listen
main,hand
côté,side
matin,morning
venu,came
suite,after
venez,come
minutes,minutes
chambre,bedroom
aimerais,would like to
mari,husband
eau,water
attendez,Wait
parti,left
dirait,would say
compte,account
croire,believe
filles,girls
jouer,to play
bureau,office
